"Анкетирование ""Опрос по IT-инфраструктуры ППС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Период проведения анкетирования: 26.12.2025 - 31.12.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Целевая аудитория: 2733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дата формирования отчета: 22.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Опрошены 300 или 11% от найденных или 11% от целевой аудитории;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Данные по респонденту;;;;;;;;;;;;;Данные по анкете;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ анкеты;Дата заполнения анкеты;штатный;;Внутренний совместитель;;Внешний совместитель;;Иностранный преподаватель;Академическая степень;Академический статус;Полный стаж работы;Стаж работы в ВУЗе;Язык заполнения анкеты;"Ваш статус?
";"Ваш факультет:
";"Как вы оцениваете качество компьютеров в компьютерных классах?
";"Какие проблемы вы встречали? (можно выбрать несколько)
";"Как вы оцениваете работу интерактивных панелей/проекторных комплексов?
";"Какие функции наиболее полезны?
";"Уровень сигнала Wi-Fi:
";"В каких местах наблюдаются проблемы с подключением к сети Wi-Fi?
";"Вы используете университетские облачные сервисы (Microsoft 365)?
";"Насколько они удобны?
";"Какие сервисы Microsoft 365 вы считаете самыми полезными?
";"Как вы оцениваете стабильность работы университетских онлайн-систем (Платонус, Сайт, СмартЕНУ)?
";"Возникали перебои в доступе к сервисам?
";"Насколько удобно использование системы распознавания лиц/турникетов?
";"Ваши предложения по улучшению IT-инфраструктуры
";"Определите Ваш уровень владения различными цифровыми инструментами, необходимыми в рамках работы в ЕНУ им. Л.Н. Гумилева:
";"Какие цифровые инструменты вы используете в своей повседневной работе в университете?
";"Какие задачи Вы решаете с помощью этих цифровых инструментов ? Возможно несколько вариантов ответа
";"
Какие преимущества или возможности для работы Вы видите в использовании цифровых инструментов ?
";"Назовите основные проблемы или трудности, возникающие у Вас при использовании текущих цифровых инструментов
";"Какие виды обучения или поддержки по использованию цифровых инструментов Вы бы хотели получить от университета?
";"Какие цифровые инструменты необходимы лично Вам для улучшения работы?
";"Как бы вы оценили уровень цифровизации в ЕНУ им. Л.Н. Гумилева по 10-балльной шкале?
";"Насколько, по Вашему мнению, цифровые инструменты, используемые в ЕНУ им. Гумилева соответствуют образовательным целям университета?
";"Удобно ли работать с цифровыми инструментами, используемыми в ЕНУ им. Л.Н. Гумилева?
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
 Управление учебным процессом: расписания занятий, просмотра учебных материалов, записи на курсы и выполнения заданий
";"Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Совместная работа, обмен материалами, коммуникация между преподавателями и студентами
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


Оценивание и обратная связь
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:

Доступ к научным базам данных, инструментам анализа данных, программам для визуализации результатов и др.
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Управление студенческой жизнью, включая доступ к информации о студенческих мероприятиях, общежитиях, финансовой поддержке и др.
";"
Насколько хорошо цифровые инструменты интегрированы с другими системами и сервисами, используемыми в университете 
(например, с АИС &laquo;Платон&raquo;, SmartENU, сайтами, почтой и др.)?
";"Предоставляют ли цифровые инструменты возможности для инноваций в образовании и исследованиях?
";"Обеспечивают ли цифровые инструменты необходимый уровень безопасности и защиты конфиденциальных данных?
";"Насколько Вы удовлетворены функциональностью АИС &laquo;Платон&raquo;?
";"Имеете ли Вы какие-либо предложения по улучшению АИС &laquo;Платон&raquo;?
";"Какими подсистемами Вы пользуетесь в АИС SmartENU?
";"Насколько Вы удовлетворены функциональностью АИС SmartENU?
";"Оцените, насколько АИС SmartENU улучшает Вашу производительность и эффективность работы
";"Имеете ли вы какие-либо предложения по улучшению АИС SmartENU?
";"Насколько Вы удовлетворены удобством предоставления образования посредством МООК (доступность платформы, понятный интерфейс, качество видео массовых открытых онлайн курсов)?
"
22220674;2025-12-27 22:56;Кафедра Математического анализа;доцент;;;;;Нет;Кандидат наук;Доцент;4;4;Русский язык;Другой (доцент);ВШО;Хорошее;Медленная загрузка;Удовлетворительно;Сенсорное управление;Плохой;на верхних этажах;Редко;Средне;Онлайн-документы, Корпоративная почта;Хорошая;Редко;Очень удобно;Увеличить количество компьютерных классов;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;Teams, Zoom, Outlook;Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучение по вопросам кибербезопасности и защиты данных при работе с цифровыми инструментами;Инструменты для онлайн-обучения;7;Скорее соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;5;9;5;1;9;7;Затрудняюсь ответить;Затрудняюсь ответить;Скорее обеспечивают;2;Ускорить загрузку;3.0;4.0;4.0;Упростить интерфейс;9.0
22220316;2025-12-28 12:50;Кафедра Механики;ст. преподаватель;;;;;Нет;Доктор PhD;ассоциированный профессор (доцент);29;18;Русский язык;Другой (ст. преподаватель);Институт физико-технических наук;Хорошее;Недостаточная производительность, Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Большой экран;Плохой;в отдельных кабинетах;Да, активно;Очень удобны;Онлайн-документы, Корпоративная почта;Хорошая;Иногда;Удобно;Установить интерактивные доски в каждой аудитории;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Платонус, Директум, SmartENU;Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Сокращение затрат времени и ресурсов;Отсутствие или недостаточная техническая поддержка при возникновении проблем с цифровыми инструментами;Обучение по вопросам кибербезопасности и защиты данных при работе с цифровыми инструментами;Интерактивные доски во всех аудиториях;9;Затрудняюсь ответить;Есть некоторые сложности, с которыми сталкиваешься в работе;10;8;5;1;2;5;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Представляют в полной мере;Скорее обеспечивают;6;нет;4.0;10.0;3.0;Всё хорошо;7.0
22219999;2025-12-28 10:36;Кафедра Теории и практики иностранных языков;преподаватель;;;;;Нет;Доктор PhD;—;34;21;Русский язык;Другой (преподаватель);Математический факультет;Хорошее;Недостаточная производительность, Медленная загрузка;Отлично;Мобильность комплекса;Плохой;в отдельных кабинетах;Да, активно;Очень удобны;Онлайн-документы;Плохая;Иногда;Очень удобно;Увеличить количество компьютерных классов;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Платонус, Директум, SmartENU;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Консультации и поддержку в формате онлайн-вебинаров или групповых сессий по вопросам использования цифровых инструментов;Современные компьютеры на кафедрах;8;Скорее соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;7;7;3;10;7;2;Затрудняюсь ответить;Предоставляют частично;Скорее обеспечивают;2;нет;5.0;3.0;7.0;Всё хорошо;3.0
22221182;2025-12-29 13:23;Кафедра Транспортная инженерия;ст. преподаватель;;;;;Нет;Кандидат наук;Профессор;28;11;Русский язык;Другой (ст. преподаватель);ФЖиСН;Удовлетворительное;Недостаток установленного ПО;Хорошо;Большой экран, Сенсорное управление;Хороший;нет;Иногда;Средне;Облачное хранилище;Хорошая;Иногда;Неудобно;Нет предложений;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;АИС «Платон», SmartENU;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Улучшение качества обучения и обратной связи;Недостаточное обучение и поддержка для эффективного использования цифровых инструментов, что создает трудности при освоении новых технологий;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Нет предложений;9;Затрудняюсь ответить;Затрудняюсь ответить;10;9;3;7;3;3;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;3;Добавить больше функций;5.0;7.0;5.0;Добавить уведомления;2.0
22220526;2025-12-28 11:46;Кафедра Казахской филологии;ассоциированный профессор (доцент);;;;;Нет;Магистр;—;29;3;Русский язык;Другой (ассоциированный профессор (доцент));Факультет информационных технологий;Неудовлетворительное;Недостаточная производительность, Медленная загрузка;Хорошо;Мобильность комплекса;Хороший;в отдельных кабинетах;Редко;Средне;Облачное хранилище, Онлайн-документы;Удовлетворительная;Иногда;Затрудняюсь ответить;Улучшить Wi-Fi покрытие;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Платонус, Сайт, СмартЕНУ;Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Отсутствие или недостаточная техническая поддержка при возникновении проблем с цифровыми инструментами;Создание сообщества пользователей цифровых инструментов, где можно обмениваться опытом и получать советы от коллег;Нет предложений;8;Затрудняюсь ответить;Работать с ними очень удобно и просто;6;7;5;7;6;2;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Затрудняюсь ответить;3;Всё устраивает;9.0;1.0;8.0;Всё хорошо;4.0
22220716;2025-12-28 21:44;Кафедра Физической и экономической географии;ассоциированный профессор (доцент);;;;;Нет;Магистр;—;8;4;Русский язык;Другой (ассоциированный профессор (доцент));Математический факультет;Неудовлетворительное;Недостаток установленного ПО;Удовлетворительно;Большой экран, Сенсорное управление;Хороший;в отдельных кабинетах;Да, активно;Очень удобны;Облачное хранилище, Онлайн-документы;Хорошая;Никогда;Очень удобно;Обновить программное обеспечение;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Microsoft Teams, Outlook;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Возможность использования цифровых инструментов для доступа к научным исследованиям, анализу данных, визуализации результатов;Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Интерактивные доски во всех аудиториях;4;Скорее не соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;10;1;10;7;6;7;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;9;Ускорить загрузку;10.0;10.0;4.0;Добавить уведомления;6.0
22220617;2025-12-29 20:43;Кафедра Биологии;профессор;;;;;Нет;Доктор PhD;Доцент;22;0;Русский язык;Другой (профессор);ФЖиСН;Удовлетворительное;Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Мобильность комплекса;Хороший;в главном корпусе;Да, активно;Удобны;Онлайн-документы;Хорошая;Иногда;Удобно;Провести обучение для преподавателей;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Microsoft Teams, Outlook;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Улучшение коммуникации и совместной работы;Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Интерактивные доски во всех аудиториях;6;В полной мере соответствуют;Работать с ними очень удобно и просто;3;4;9;3;9;3;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;7;Всё устраивает;3.0;3.0;7.0;Добавить уведомления;1.0
22221294;2025-12-30 22:12;Кафедра Социологии;Доцент (исполняющий обязанности);;;;;Нет;Доктор PhD;ассоциированный профессор (доцент);0;0;Русский язык;Другой (Доцент (исполняющий обязанности));ФЖиСН;Хорошее;Недостаточная производительность, Недостаток установленного ПО, Медленная загрузка;Плохо;Сенсорное управление;Хороший;во всех корпусах;Да, активно;Очень удобны;Онлайн-документы, Корпоративная почта;Удовлетворительная;Редко;Неудобно;Нет предложений;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;АИС «Платон», SmartENU, Teams;Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Возможность использования цифровых инструментов для доступа к научным исследованиям, анализу данных, визуализации результатов;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Консультации и поддержку в формате онлайн-вебинаров или групповых сессий по вопросам использования цифровых инструментов;Платонус, SmartENU;8;В полной мере соответствуют;Работать с ними по большей части неудобно, слишком сложно;5;10;10;2;3;6;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;3;Ускорить загрузку;7.0;7.0;10.0;Нет;10.0
22220651;2025-12-29 10:31;Кафедра Казахской филологии;преподаватель;;;;;Нет;Магистр;—;35;10;Русский язык;Другой (преподаватель);Юридический факультет;Хорошее;Недостаточная производительность, Медленная загрузка;Удовлетворительно;Мобильность комплекса;Отличный;в отдельных кабинетах;Да, активно;Средне;Онлайн-документы;Удовлетворительная;Иногда;Неудобно;Провести обучение для преподавателей;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Платонус, Teams, Outlook;Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Сокращение затрат времени и ресурсов;Недостаточное обучение и поддержка для эффективного использования цифровых инструментов, что создает трудности при освоении новых технологий;Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;Стабильный высокоскоростной Wi-Fi;2;В полной мере соответствуют;Работать с ними очень удобно и просто;4;5;1;5;4;9;Хорошо интегрированы с другими системами и сервисами университета;Не предоставляют совсем;Скорее не обеспечивают;8;Ускорить загрузку;9.0;2.0;10.0;нет;5.0
22221412;2025-12-30 21:23;Кафедра Математического анализа;ст. преподаватель;;;;;Нет;Доктор наук;Доцент;34;13;Русский язык;Другой (ст. преподаватель);ФЖиСН;Хорошее;Недостаток установленного ПО, Медленная загрузка;Отлично;Мобильность комплекса;Удовлетворительный;нет;Нет;Не использую;Онлайн-документы, Корпоративная почта;Хорошая;Редко;Удобно;Обновить компьютеры в кабинетах;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;Платонус, Сайт, СмартЕНУ;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Улучшение коммуникации и совместной работы;Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Обучение по вопросам кибербезопасности и защиты данных при работе с цифровыми инструментами;Нет предложений;6;Скорее не соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;7;3;10;3;4;4;Затрудняюсь ответить;Представляют в полной мере;Скорее не обеспечивают;10;Ускорить загрузку;3.0;6.0;5.0;Улучшить навигацию;10.0
22220433;2025-12-30 22:43;Кафедра Транспортная инженерия;ст. преподаватель;;;;;Нет;—;—;3;2;Русский язык;Другой (ст. преподаватель);ВШО;Хорошее;Медленная загрузка;Удовлетворительно;Мобильность комплекса;Удовлетворительный;в главном корпусе;Нет;Не использую;Онлайн-документы, Корпоративная почта;Хорошая;Часто;Удобно;Интегрировать все системы в одну;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;АИС «Платон», SmartENU;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Улучшение качества обучения и обратной связи;Неудобный интерфейс или сложные функции цифровых инструментов, что требует дополнительного времени и усилий для освоения их работы;Создание сообщества пользователей цифровых инструментов, где можно обмениваться опытом и получать советы от коллег;Платонус, SmartENU;6;В полной мере соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;10;1;2;8;6;2;Затрудняюсь ответить;Предоставляют частично;Затрудняюсь ответить;4;Добавить больше функций;5.0;6.0;5.0;Улучшить навигацию;9.0
22221086;2025-12-27 17:54;Кафедра Психологии;ст. преподаватель;;;;;Нет;Магистр;—;2;0;Русский язык;Другой (ст. преподаватель);Факультет естественных наук;Удовлетворительное;Недостаточная производительность, Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Встроенный компьютер;Плохой;в отдельных кабинетах;Иногда;Очень удобны;Онлайн-документы;Отличная;Никогда;Затрудняюсь ответить;Обеспечить стабильный доступ к системам;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Microsoft Teams, Outlook;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Сокращение затрат времени и ресурсов;Отсутствие или недостаточная техническая поддержка при возникновении проблем с цифровыми инструментами;Консультации и поддержку в формате онлайн-вебинаров или групповых сессий по вопросам использования цифровых инструментов;Интерактивные доски во всех аудиториях;6;Скорее не соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;1;7;5;4;7;2;Затрудняюсь ответить;Предоставляют частично;Скорее не обеспечивают;3;Ускорить загрузку;4.0;9.0;8.0;нет;1.0
22221369;2025-12-28 21:07;Кафедра Алгебры и геометрии;профессор;;;;;Нет;Кандидат наук;—;4;1;Русский язык;Другой (профессор);ФЖиСН;Удовлетворительное;Недостаточная производительность;Плохо;Сенсорное управление;Хороший;в главном корпусе;Да, активно;Очень удобны;Онлайн-документы;Хорошая;Редко;Удобно;Увеличить количество компьютерных классов;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Teams, Zoom, Outlook;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Улучшение качества обучения и обратной связи;Отсутствие или недостаточная техническая поддержка при возникновении проблем с цифровыми инструментами;Создание сообщества пользователей цифровых инструментов, где можно обмениваться опытом и получать советы от коллег;Стабильный высокоскоростной Wi-Fi;3;Затрудняюсь ответить;Инструменты легки в использовании, легко осваиваются и комфортны;8;4;2;2;3;2;Полностью интегрированы с другими системами и сервисами университета;Предоставляют частично;Затрудняюсь ответить;6;Улучшить техническую поддержку;3.0;4.0;5.0;Всё хорошо;2.0
22220406;2025-12-30 17:38;Кафедра Туризма;Доцент (исполняющий обязанности);;;;;Нет;Кандидат наук;Доцент;42;19;Русский язык;Другой (Доцент (исполняющий обязанности));Филологический факультет;Хорошее;Недостаточная производительность;Хорошо;Сенсорное управление;Хороший;нет;Да, активно;Удобны;Онлайн-документы;Хорошая;Часто;Неудобно;Улучшить скорость интернета во всех аудиториях;Экспертный: глубокое понимание и мастерство в использовании цифровых инструментов, способность к инновациям и разработке новых методов.;Microsoft Teams, Outlook;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Улучшение качества обучения и обратной связи;Неудобный интерфейс или сложные функции цифровых инструментов, что требует дополнительного времени и усилий для освоения их работы;Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;Платонус, SmartENU;9;Скорее не соответствуют;Работать с ними очень удобно и просто;2;1;10;2;1;5;Хорошо интегрированы с другими системами и сервисами университета;Затрудняюсь ответить;Затрудняюсь ответить;7;Ускорить загрузку;5.0;9.0;7.0;Добавить уведомления;7.0
22220083;2025-12-31 16:34;Кафедра Истории Казахстана;ст. преподаватель;;;;;Нет;Кандидат наук;Доцент;19;2;Русский язык;Другой (ст. преподаватель);ВШО;Хорошее;Недостаток установленного ПО;Хорошо;Большой экран;Хороший;в отдельных кабинетах;Да, активно;Средне;Онлайн-документы;Удовлетворительная;Иногда;Неудобно;Провести обучение для преподавателей;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;АИС «Платон», SmartENU;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Сокращение затрат времени и ресурсов;Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Создание сообщества пользователей цифровых инструментов, где можно обмениваться опытом и получать советы от коллег;Нет предложений;3;Скорее соответствуют;Работать с ними очень удобно и просто;1;3;8;6;9;9;Затрудняюсь ответить;Не предоставляют совсем;Скорее обеспечивают;3;Всё устраивает;5.0;2.0;1.0;Улучшить навигацию;7.0
22220498;2025-12-30 09:16;Кафедра Экономики;Доцент (исполняющий обязанности);;;;;Нет;Магистр;—;31;29;Русский язык;Другой (Доцент (исполняющий обязанности));Географический факультет;Удовлетворительное;Медленная загрузка;Удовлетворительно;Большой экран;Удовлетворительный;в крайних кабинетах;Да, активно;Средне;Облачное хранилище;Удовлетворительная;Часто;Удобно;Улучшить скорость интернета во всех аудиториях;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Платонус, Teams, Outlook;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Улучшение качества обучения и обратной связи;Недостаточное оборудование и инфраструктура для эффективной работы с цифровыми инструментами (например, устаревшие компьютеры или недостаточное количество устройств);Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;Интерактивные доски во всех аудиториях;9;Скорее не соответствуют;Работать с ними очень удобно и просто;7;4;6;4;7;6;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;9;Всё устраивает;1.0;3.0;4.0;Упростить интерфейс;1.0
22220787;2025-12-26 22:29;Кафедра Педагогики;ст. преподаватель;;;;;Нет;Кандидат наук;Доцент;35;29;Русский язык;Другой (ст. преподаватель);Географический факультет;Хорошее;Недостаток установленного ПО, Медленная загрузка;Хорошо;Встроенный компьютер;Хороший;в отдельных кабинетах;Редко;Средне;Онлайн-документы;Плохая;Часто;Очень удобно;Установить интерактивные доски в каждой аудитории;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Платонус, Teams, Outlook;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Неудобный интерфейс или сложные функции цифровых инструментов, что требует дополнительного времени и усилий для освоения их работы;Консультации и поддержку в формате онлайн-вебинаров или групповых сессий по вопросам использования цифровых инструментов;Нет предложений;1;Затрудняюсь ответить;Есть некоторые сложности, с которыми сталкиваешься в работе;7;5;2;4;9;4;Практически не интегрированы с другими системами и сервисами университета;Затрудняюсь ответить;Затрудняюсь ответить;3;Всё устраивает;5.0;2.0;1.0;Нет;9.0
22220874;2025-12-31 22:23;Кафедра Социологии;ст. преподаватель;;;;;Нет;Магистр;—;32;8;Русский язык;Другой (ст. преподаватель);Географический факультет;Хорошее;Недостаток установленного ПО;Хорошо;Сенсорное управление;Плохой;в аудиториях;Иногда;Удобны;Корпоративная почта;Отличная;Иногда;Очень удобно;Нет предложений;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Microsoft Teams, Outlook;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Недостаточное оборудование и инфраструктура для эффективной работы с цифровыми инструментами (например, устаревшие компьютеры или недостаточное количество устройств);Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;Инструменты для онлайн-обучения;2;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;8;6;7;2;9;6;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;5;Улучшить техническую поддержку;2.0;2.0;3.0;Всё хорошо;5.0
